date,mm_per_day
1/1/2014, 10.408627034345926
1/2/2014, 1.2903687377671127
1/3/2014, 7.1231072539346325
1/4/2014, 16.86837413196772
1/5/2014, 1.8379217832533448
1/6/2014, 4.830266174223127
1/7/2014, 6.772659329168566
1/8/2014, 3.5003973593720676
1/9/2014, 12.1401880513178
1/10/2014, 0.6699029705807438
1/11/2014, 2.9339824164812183
1/12/2014, 14.941027428479503
1/13/2014, 2.775639000790948
1/14/2014, 2.83722781825616
1/15/2014, 9.774084544333324
1/16/2014, 11.206617656916105
1/17/2014, 4.577955750462504
1/18/2014, 5.907206427460654
1/19/2014, 9.010544581333619
1/20/2014, 6.440437987639757
1/21/2014, 1.6803997933815051
1/22/2014, 9.299373106416066
1/23/2014, 7.983969052470708
1/24/2014, 7.5846247687481565
1/25/2014, 19.001271885138216
1/26/2014, 17.058794943293027
1/27/2014, 1.580494598258573
1/28/2014, 3.344019793817197
1/29/2014, 16.098271978979543
1/30/2014, 3.7473167245354855
1/31/2014, 5.126600329785237
2/1/2014, 12.236907459044964
2/2/2014, 6.76414322867791
2/3/2014, 15.87180436764351
2/4/2014, 6.714489436147679
2/5/2014, 2.673779895165831
2/6/2014, 7.661857019331314
2/7/2014, 13.915341716491943
2/8/2014, 10.301736734858032
2/9/2014, 10.0210690538113
2/10/2014, 14.04385741480548
2/11/2014, 16.92875432340403
2/12/2014, 9.100594551840631
2/13/2014, 7.470310949942355
2/14/2014, 15.936675536906453
2/15/2014, 3.86900546625734
2/16/2014, 0.5274330354150468
2/17/2014, 1.97712701423707
2/18/2014, 3.855446651205191
2/19/2014, 6.981967802370164
2/20/2014, 17.595550580475642
2/21/2014, 16.27073558195029
2/22/2014, 5.755691644100062
2/23/2014, 9.850740341046198
2/24/2014, 3.4390408410864146
2/25/2014, 3.124407836086012
2/26/2014, 3.406130394200606
2/27/2014, 3.5049224803603507
2/28/2014, 0.5026589772635869
3/1/2014, 0.5265963184874118
3/2/2014, 3.6009879313349598
3/3/2014, 21.39933841863957
3/4/2014, 13.320556110411024
3/5/2014, 2.2744624232511996
3/6/2014, 1.8783891800949137
3/7/2014, 9.250331796123012
3/8/2014, 6.8389456591682976
3/9/2014, 1.8538146918652976
3/10/2014, 2.0287014119768347
3/11/2014, 11.806232739898652
3/12/2014, 9.455101951899616
3/13/2014, 3.3806147696195405
3/14/2014, 3.8133190169450626
3/15/2014, 2.299490617542966
3/16/2014, 4.862477628897767
3/17/2014, 8.497238383784218
3/18/2014, 10.181422098292089
3/19/2014, 6.660231972410649
3/20/2014, 3.6607682085690536
3/21/2014, 4.950424129286538
3/22/2014, 11.812837661205995
3/23/2014, 3.83794356784728
3/24/2014, 0.9226935980105638
3/25/2014, 3.581368390889348
3/26/2014, 8.507496413920691
3/27/2014, 6.8265204808697755
3/28/2014, 11.049648765316245
3/29/2014, 8.21730802745529
3/30/2014, 3.3175469039064804
3/31/2014, 4.930951215915489
4/1/2014, 5.985718522937502
4/2/2014, 2.1540061868246774
4/3/2014, 2.555643508526155
4/4/2014, 4.23753041464461
4/5/2014, 2.901884283588492
4/6/2014, 0.7087381462483577
4/7/2014, 0.620632712584122
4/8/2014, 1.269518472497788
4/9/2014, 2.5162360159664314
4/10/2014, 1.6382381206933534
4/11/2014, 1.648997301223959
4/12/2014, 0.49389759062391075
4/13/2014, 8.150560869506931
4/14/2014, 0.7446144922849023
4/15/2014, 0.04138143991348165
4/16/2014, 0.06909254964792745
4/17/2014, 0.14876182076055045
4/18/2014, 0.6562146524016677
4/19/2014, 3.187311479475561
4/20/2014, 9.160099170174545
4/21/2014, 7.89073266616618
4/22/2014, 8.075226392203126
4/23/2014, 3.3606077147625815
4/24/2014, 1.5129785907713758
4/25/2014, 0.6538457349116551
4/26/2014, 0.5071042912298577
4/27/2014, 0.9948156855779285
4/28/2014, 1.5536228827050433
4/29/2014, 3.4447599253961445
4/30/2014, 2.268126038957557
5/1/2014, 6.74070216773467
5/2/2014, 10.636180523902727
5/3/2014, 4.403389934177012
5/4/2014, 0.6580228260650991
5/5/2014, 1.316131428968818
5/6/2014, 7.211476459232646
5/7/2014, 5.684461468080543
5/8/2014, 1.3812956429136392
5/9/2014, 0.06143010674869963
5/10/2014, 0.000888137455315399
5/11/2014, 0.11258377642638819
5/12/2014, 1.8515683650829826
5/13/2014, 6.819070987612945
5/14/2014, 2.9894135252165053
5/15/2014, 2.9325687220151755
5/16/2014, 9.8972110692549
5/17/2014, 4.796950408209776
5/18/2014, 2.5167835633563023
5/19/2014, 1.9813660029627047
5/20/2014, 1.2052487884414296
5/21/2014, 0.7063457684264149
5/22/2014, 7.0984479314690185
5/23/2014, 10.287667238651903
5/24/2014, 6.68376017172963
5/25/2014, 0.4961113452489476
5/26/2014, 0
5/27/2014, 0.005334936511654967
5/28/2014, 0
5/29/2014, 0
5/30/2014, 0
5/31/2014, 0.00427660691622106
6/1/2014, 0.08982600419646687
6/2/2014, 0.006558999704075143
6/3/2014, 0
6/4/2014, 0.04951839159106296
6/5/2014, 0.0014441232660562932
6/6/2014, 0.14031218684646218
6/7/2014, 0.03791518896250033
6/8/2014, 0.8673514081226372
6/9/2014, 9.849320153095423
6/10/2014, 3.9578388509799716
6/11/2014, 0.01324981813006073
6/12/2014, 0.016878795677475734
6/13/2014, 2.5948580817492024
6/14/2014, 7.01774857897418
6/15/2014, 0.9182007349786846
6/16/2014, 0.13491459548941603
6/17/2014, 0.0000744563509101928
6/18/2014, 0
6/19/2014, 0.0956357027291069
6/20/2014, 0.01910618203835094
